STATION_NU,PROV_TERR_,LATITUDE,LONGITUDE,node_id,reach_id
06GD001,MB,58.891288757324100,-96.276687622070200,71140100160361,71140100161
06GA001,MB,58.143058776855400,-98.227783203124900,71140500120051,71140500121
06FD703,MB,58.677211761474600,-94.184997558593800,71181100010713,71181100013
06FD001,MB,58.118621826171900,-94.622451782226600,71181100070411,71181100071
06FD702,MB,57.569438934326200,-95.439437866210800,71181100180241,71181100181
06FC001,MB,56.952919006347600,-95.739250183105400,71181200090213,71181200093
06FD681,MB,57.512439727783200,-95.360183715820200,71181300010011,71181300011
06FB001,MB,57.238880157470700,-96.832450866699200,71181300160971,71181300161
06FB701,MB,57.245830535888700,-96.987747192382700,71181300180153,71181300183
06FA001,MB,57.302059173583900,-97.524940490722600,71181300710043,71181300713
06EC001,MB,56.778499603271400,-98.941360473632700,71181400020053,71181400023
06EC003,MB,56.687271118164000,-99.023483276367200,71181400030203,71181400033
06EC002,MB,56.673500061035100,-99.044250488281100,71181400030283,71181400033
05TF004,MB,56.132499694824100,-99.483421325683500,71181400120353,71181400123
05TF710,MB,55.867000579833900,-99.331611633300700,71181400200213,71181400203
06EC004,MB,56.775001525878800,-99.118057250976600,71181500400593,71181500403
06EB702,MB,56.492500305175800,-99.954437255859400,71181700040223,71181700043
06EB778,MB,56.497501373291000,-99.964820861816400,71181700040273,71181700043
06EA006,MB,56.147659301757700,-100.459327697754000,71181900060101,71181900061
06EA013,MB,55.769329071044900,-101.601387023925000,71181900370053,71181900373
06EA014,MB,55.749000549316300,-101.620063781737000,71181900370173,71181900373
06EA010,SK,55.637779235839800,-102.217498779297000,71181900510041,71181900511
06EA002,SK,55.536289215087800,-102.323707580565000,71181900540213,71181900543
06EA011,SK,55.575279235839800,-102.829971313477000,71181900700503,71181900703
06CD004,SK,55.452781677246100,-103.444442749022000,71183000050253,71183000053
06CD001,SK,55.416671752929700,-104.559722900390000,71185100040223,71185100043
06CD002,SK,55.647689819335900,-104.736000061034000,71185100120253,71185100123
06CC001,SK,55.163330078125000,-106.206939697265000,71185400180711,71185400181
