node_id,time_str,wse,node_q,width,geoid_hght,area_wse,n_good_pix,sword_version,wse_units,width_units,geoid_hght_units,area_wse_units,n_good_pix_units
72608900180521,2023-05-29 19:49:07,343.50544,1,4.218365,-27.2319315,66.9,2,7b,m,m,m,m^2,1
72608900180521,2023-05-30 19:39:45,343.17329,0,31.080897,-27.2320214,3277.9,16,7b,m,m,m,m^2,1
72608900180521,2023-05-31 19:30:23,343.35878,1,11.567647,-27.2320293,2020.9,10,7b,m,m,m,m^2,1
72608900180521,2023-06-01 19:21:01,342.95253,1,8.640528,-27.2321562,1426.4,8,7b,m,m,m,m^2,1
72608900180521,2023-06-02 19:11:38,343.13372,0,41.123312,-27.2319714,7638.3,31,7b,m,m,m,m^2,1
72608900180521,2023-06-03 19:02:16,343.03205,0,36.769416,-27.2321336,6250.8,27,7b,m,m,m,m^2,1
72608900180521,2023-06-04 18:52:54,342.99406,0,18.60873,-27.2321545,3544.0,15,7b,m,m,m,m^2,1
72608900180521,2023-06-05 18:43:32,342.98937,0,17.863384,-27.2321821,3413.9,16,7b,m,m,m,m^2,1
72608900180521,2023-06-07 18:24:48,343.31944,1,28.202725,-27.232116,4791.3,21,7b,m,m,m,m^2,1
72608900180521,2023-06-10 17:56:41,343.56788,1,16.655764,-27.2321004,3531.8,17,7b,m,m,m,m^2,1
72608900180521,2023-06-11 17:47:19,343.51475,1,18.536585,-27.2321087,3086.7,16,7b,m,m,m,m^2,1
72608900180521,2023-06-12 17:37:57,343.4709,1,18.027149,-27.2320906,3467.3,17,7b,m,m,m,m^2,1
72608900180521,2023-06-13 17:28:35,343.487,0,37.455566,-27.2319706,6368.3,27,7b,m,m,m,m^2,1
72608900180521,2023-06-14 17:19:12,343.45139,1,15.709137,-27.232093,2903.7,17,7b,m,m,m,m^2,1
72608900180521,2023-06-15 17:09:50,343.33218,0,23.828966,-27.2322273,5037.3,19,7b,m,m,m,m^2,1
72608900180521,2023-06-16 17:00:27,343.48985,1,18.158209,-27.2321472,3844.1,14,7b,m,m,m,m^2,1
72608900180521,2023-06-18 16:41:44,344.25937,0,55.47723,-27.2320459,7221.7,24,7b,m,m,m,m^2,1
72608900180521,2023-06-19 16:32:22,343.87287,0,25.750736,-27.2320987,4617.6,17,7b,m,m,m,m^2,1
72608900180521,2023-06-20 16:23:00,343.56979,0,20.366578,-27.2321907,3473.0,16,7b,m,m,m,m^2,1
72608900180521,2023-06-21 16:13:38,343.37586,1,14.515516,-27.2321553,3048.8,13,7b,m,m,m,m^2,1
72608900180521,2023-06-22 16:04:16,343.57183,1,14.719651,-27.232067,3127.7,11,7b,m,m,m,m^2,1
72608900180521,2023-06-23 15:54:54,343.39979,0,12.433778,-27.2320776,2685.8,12,7b,m,m,m,m^2,1
72608900180521,2023-06-24 15:45:32,343.27933,1,12.661497,-27.2321197,2707.1,14,7b,m,m,m,m^2,1
72608900180521,2023-06-25 15:36:10,343.80554,0,25.084299,-27.2321292,4507.5,19,7b,m,m,m,m^2,1
72608900180521,2023-06-26 15:26:48,343.79614,0,21.560231,-27.2320683,3335.3,17,7b,m,m,m,m^2,1
72608900180521,2023-06-27 15:17:25,343.64401,0,32.061804,-27.2321103,4321.9,21,7b,m,m,m,m^2,1
72608900180521,2023-06-28 15:08:03,343.57924,0,40.326955,-27.2320226,4913.9,20,7b,m,m,m,m^2,1
72608900180521,2023-06-29 14:58:41,344.29187,0,35.047239,-27.2320513,5772.6,23,7b,m,m,m,m^2,1
72608900180521,2023-06-30 14:49:19,343.68842,0,22.534047,-27.2321579,4730.3,19,7b,m,m,m,m^2,1
72608900180521,2023-07-01 14:39:57,343.49655,0,20.508173,-27.2321197,3970.3,13,7b,m,m,m,m^2,1
72608900180521,2023-07-02 14:30:35,343.39872,0,25.735115,-27.2321427,4691.6,17,7b,m,m,m,m^2,1
72608900180521,2023-07-03 14:21:13,343.3395,1,18.445224,-27.2321149,2670.3,11,7b,m,m,m,m^2,1
72608900180521,2023-07-05 14:02:29,343.34171,1,15.623919,-27.2321401,2897.7,15,7b,m,m,m,m^2,1
72608900180521,2023-07-06 13:53:07,343.0547,1,21.722186,-27.2321314,3377.3,11,7b,m,m,m,m^2,1
72608900180521,2023-07-07 13:43:45,343.3999,1,14.525692,-27.2320447,3118.5,12,7b,m,m,m,m^2,1
72608900180521,2023-07-08 13:34:23,343.24899,1,15.603289,-27.2321487,3317.7,13,7b,m,m,m,m^2,1
72608900180521,2023-07-09 13:25:00,343.68804,0,15.863854,-27.2321188,3395.4,14,7b,m,m,m,m^2,1
72608900180521,2023-07-10 13:15:38,343.32359,1,11.558204,-27.2320932,2442.5,13,7b,m,m,m,m^2,1
72608900180521,2023-08-09 18:47:24,344.4447,1,18.013633,-27.2320677,3599.7,25,7b,m,m,m,m^2,1
72608900180521,2023-09-20 12:17:34,345.45267,1,20.474875,-27.232027,4332.1,38,7b,m,m,m,m^2,1
72608900180521,2023-10-11 09:02:36,343.73547,1,5.594463,-27.2321606,1127.8,9,7b,m,m,m,m^2,1
72608900180521,2023-11-01 05:47:42,344.4773,1,2.882674,-27.2317198,581.3,6,7b,m,m,m,m^2,1
72608900180521,2023-11-22 02:32:47,343.8226,1,13.198691,-27.2318627,2761.6,39,7b,m,m,m,m^2,1
72608900180521,2023-11-24 15:52:53,343.27265,1,98.928983,-27.2318376,17390.3,18,7b,m,m,m,m^2,1
72608900180521,2024-01-23 16:48:03,345.47537,1,1.741468,-27.2312851,262.6,1,7b,m,m,m,m^2,1
72608900180521,2024-02-13 13:33:08,344.77616,0,29.762864,-27.231727,6482.6,39,7b,m,m,m,m^2,1
72608900180521,2024-03-05 10:18:12,345.64169,1,1.624473,-27.2314785,212.3,3,7b,m,m,m,m^2,1
72608900180521,2024-03-07 23:38:18,345.10559,1,526.842906,-27.2313938,8895.1,1,7b,m,m,m,m^2,1
72608900180521,2024-03-15 08:40:23,346.44137,1,2.850588,-27.231226,517.5,2,7b,m,m,m,m^2,1
72608900180521,2024-04-16 03:48:21,344.32348,1,22.863971,-27.2321837,4713.8,29,7b,m,m,m,m^2,1
72608900180521,2024-04-26 02:10:34,345.8849,0,37.207386,-27.2319553,5676.9,35,7b,m,m,m,m^2,1
72608900180521,2024-05-16 22:55:38,346.37129,0,29.797038,-27.2318025,5104.0,30,7b,m,m,m,m^2,1
72608900180521,2024-05-27 21:18:30,343.52059,0,21.077077,-27.2318778,4431.4,43,7b,m,m,m,m^2,1
72608900180521,2024-06-06 19:40:45,343.91683,1,4.156644,-27.2314945,567.2,9,7b,m,m,m,m^2,1
72608900180521,2024-06-17 18:03:35,344.27362,1,2.775614,-27.2318444,573.9,12,7b,m,m,m,m^2,1
72608900180521,2024-06-27 16:25:47,346.13671,0,35.138485,-27.2321315,6394.6,30,7b,m,m,m,m^2,1
72608900180521,2024-07-08 14:48:38,343.83842,1,9.386203,-27.2321505,1974.4,22,7b,m,m,m,m^2,1
72608900180521,2024-07-29 11:33:43,343.20118,1,2.614346,-27.232041,481.6,6,7b,m,m,m,m^2,1
72608900180521,2024-08-21 21:38:53,343.6308,1,628.896522,-27.2317449,7132.6,7,7b,m,m,m,m^2,1
72608900180521,2024-09-09 05:03:54,343.20678,1,16.066939,-27.2320682,3173.7,30,7b,m,m,m,m^2,1
72608900180521,2024-09-30 01:49:01,343.62173,1,4.504812,-27.2320901,922.7,11,7b,m,m,m,m^2,1
72608900180521,2024-10-20 22:34:05,343.22321,1,0.204132,-27.231993,36.1,2,7b,m,m,m,m^2,1
72608900180521,2024-11-10 19:19:09,343.44418,1,10.66372,-27.232068,2213.1,19,7b,m,m,m,m^2,1
72608900180521,2024-11-20 17:41:22,344.37878,1,31.432231,-27.2321988,5729.2,34,7b,m,m,m,m^2,1
72608900180521,2024-12-04 05:24:20,343.23236,1,111.757179,-27.2318901,18067.4,19,7b,m,m,m,m^2,1
72608900180521,2024-12-22 12:49:18,344.11259,1,17.336379,-27.231845,3553.1,26,7b,m,m,m,m^2,1
72608900180521,2025-02-02 06:19:27,343.67349,0,20.777079,-27.2318381,4205.0,32,7b,m,m,m,m^2,1
72608900180521,2025-02-23 03:04:32,346.01434,1,1.547364,-27.2311115,228.9,1,7b,m,m,m,m^2,1
72608900180521,2025-03-05 01:26:44,348.76295,1,110.394142,-27.2333327,22753.6,103,7b,m,m,m,m^2,1
72608900180521,2025-04-05 20:34:39,343.73127,0,41.361717,-27.23201,8927.3,52,7b,m,m,m,m^2,1
72608900180521,2025-04-15 18:56:54,344.99619,1,50.64487,-27.2318894,9157.5,49,7b,m,m,m,m^2,1
72608900180521,2025-05-06 15:41:57,345.43751,1,29.828107,-27.2319891,4493.0,27,7b,m,m,m,m^2,1
72608900180521,2025-05-17 14:04:50,343.45597,0,31.159678,-27.2319827,6181.6,42,7b,m,m,m,m^2,1
72608900180521,2025-06-07 10:49:56,344.78874,1,1.48845,-27.2317146,263.8,5,7b,m,m,m,m^2,1
72608900180521,2025-06-10 00:10:01,346.69955,1,3362.633119,-27.2343407,2404.3,1,7b,m,m,m,m^2,1
72608900180521,2025-06-30 20:55:07,343.45307,1,171.154713,-27.2319011,17816.1,13,7b,m,m,m,m^2,1
72608900180521,2025-07-08 05:57:15,346.21945,0,33.491569,-27.2317996,5988.2,33,7b,m,m,m,m^2,1
72608900180521,2025-07-19 04:20:07,344.54752,0,10.663236,-27.2321062,2271.6,19,7b,m,m,m,m^2,1
72608900180521,2025-08-09 01:05:10,344.23307,1,0.658493,-27.231748,120.7,4,7b,m,m,m,m^2,1
72608900180521,2025-08-29 21:50:16,345.54866,1,1.503035,-27.2315445,293.7,2,7b,m,m,m,m^2,1
72608900180521,2025-09-08 20:12:28,343.88118,1,7.114025,-27.2317032,1131.1,19,7b,m,m,m,m^2,1
72608900180521,2025-09-19 18:35:17,343.18148,0,18.621307,-27.2317994,3949.9,33,7b,m,m,m,m^2,1
72608900180521,2025-09-29 16:57:32,343.95583,1,18.650715,-27.2320735,3492.5,22,7b,m,m,m,m^2,1
72608900180521,2025-10-10 15:20:23,343.30386,0,4.098095,-27.2320146,803.4,10,7b,m,m,m,m^2,1
72608900180521,2025-10-20 13:42:37,343.11163,1,27.325565,-27.2318159,5896.6,35,7b,m,m,m,m^2,1
72608900180521,2025-10-31 12:05:29,342.99829,1,7.662418,-27.2321324,1600.9,15,7b,m,m,m,m^2,1
72608900180521,2025-11-03 01:25:35,343.11699,1,91.028428,-27.2321107,5968.9,6,7b,m,m,m,m^2,1
72608900180521,2025-11-10 10:27:41,345.57781,1,3.816837,-27.2313442,711.2,13,7b,m,m,m,m^2,1
72608900180521,2025-11-21 08:50:32,343.78013,1,10.218877,-27.2316834,2170.5,23,7b,m,m,m,m^2,1
72608900180521,2025-11-23 22:10:38,343.05897,1,91.658853,-27.2320171,18100.8,17,7b,m,m,m,m^2,1
72608900180521,2025-12-01 07:12:45,343.69473,1,2.239846,-27.231773,458.9,3,7b,m,m,m,m^2,1
72608900180521,2025-12-12 05:35:35,343.97516,1,17.267929,-27.2317504,3554.7,26,7b,m,m,m,m^2,1
72608900180521,2026-01-02 02:20:42,345.83168,1,9.622727,-27.2315734,1766.1,10,7b,m,m,m,m^2,1
72608900180521,2026-01-22 23:05:46,344.81805,1,1.39091,-27.2318211,131.6,1,7b,m,m,m,m^2,1
72608900180521,2026-02-12 19:50:49,345.68192,1,1.209128,-27.231493,265.0,1,7b,m,m,m,m^2,1
72608900180521,2026-03-05 16:35:58,345.19128,1,0.730063,-27.2312813,110.3,1,7b,m,m,m,m^2,1
72608900180521,2026-03-15 14:58:11,348.16395,1,91.757859,-27.2328407,17588.4,70,7b,m,m,m,m^2,1
72608900180521,2026-03-26 13:21:02,344.70399,1,14.245374,-27.2318395,2802.9,15,7b,m,m,m,m^2,1
72608900180521,2026-04-16 10:06:08,345.34292,0,43.98313,-27.231929,9504.0,59,7b,m,m,m,m^2,1
72608900180521,2026-04-26 08:28:21,344.79484,0,29.878975,-27.2319215,5035.2,27,7b,m,m,m,m^2,1
72608900180521,2026-05-07 06:51:12,344.76919,1,20.552766,-27.2320103,4366.7,27,7b,m,m,m,m^2,1
72608900180521,2026-05-09 20:11:18,345.32169,1,3632.062274,-27.2317733,96439.3,15,7b,m,m,m,m^2,1
